"aid","author_last_name","author_fore_name"
419,"Gibson","T P"
420,"Pesce","M A"
421,"Bodourian","S H"
422,"Nicholson","J F"
423,"Spiekerman","A M"
424,"Hetherly","M E"
425,"Hall","F F"
426,"Bowers","G N"
427,"McComb","R B"
428,"Shapira","E"
429,"Nadler","H L"
430,"Tamaoki","H"
431,"Minato","S"
432,"Takei","S"
433,"Fujisawa","K"
434,"Suzuki","Y"
435,"Losse","H"
436,"Zepp","E A"
437,"Thomas","J A"
438,"Knotts","G R"
439,"Modig","J"
440,"Busch","C"
441,"Waernbaum","G"
442,"Clancy","L J"
443,"Critchley","J A"
444,"Leitch","A G"
445,"Kirby","B J"
446,"Ungar","A"
447,"Flenley","D C"
448,"Duke","G E"
449,"Evanson","O A"
450,"Jegers","A"
451,"Fänge","R"
452,"Lidman","U"
453,"James","N T"
454,"Meek","G A"
455,"Gasaway","W C"
456,"Popper","A N"
457,"Clarke","N L"
458,"Lerner","J"
459,"Kratzer","F H"
460,"Fyhn","H J"
461,"Spaargaren","D H"
462,"Voigt","W G"
463,"Johnson","C R"
464,"Wright","E A"
465,"Wright","A A"
466,"Baverstock","P R"
467,"Spencer","L"
468,"Pollard","C"
469,"Dennis","R D"
470,"Lindqvist","O V"
471,"Fitzgerald","G"
472,"Iriki","M"
473,"Murata","S"
474,"Nagai","M"
475,"Tsuchiya","K"
476,"Scott","D M"
477,"Mazurkiewicz","M"
478,"Leeman","P"
479,"Jacob","J S"
480,"McDonald","H S"
481,"Courtois","L A"
482,"Idler","D R"
483,"Burton","M P"
484,"Cochran","D G"
485,"Clegg","J S"
486,"Isaacks","R E"
487,"Harkness","D R"
488,"Froeman","G A"
489,"Sussman","S A"
490,"Urakabe","S"
491,"Takamitsu","Y"
492,"Shirai","D"
493,"Yuasa","S"
494,"Kimura","G"
495,"Huijbregts","L A"
496,"Schreurs","M"
497,"Storesund","A"
498,"Helle","K B"
499,"Zeman","G H"
500,"Carpenter","D O"
501,"Kleinhaus","A L"
502,"El Halawani","M E"
503,"Waibel","P E"
504,"Chow","P H"
505,"Chan","D K"
506,"Bennett","T"
507,"Malmfors","T"
508,"Grega","D S"
509,"Sherman","R G"
510,"Daoud","A"
511,"Usherwood","P N"
512,"Fingerman","M"
513,"Fingerman","S W"
514,"Hansen","D"
515,"Smith","P A"
516,"Fitzsimons","J T"
517,"Loker","J E"
518,"Walker","R J"
519,"Olowo-Okorun","M O"
520,"Froese","A"
521,"Sehon","A H"
522,"Gmaj","P"
523,"Hoppe","A"
524,"Angielski","S"
525,"Rogulski","J"
526,"Metler","M"
527,"Stepiński","J"
528,"Yakaitis","R W"
529,"Thomas","J D"
530,"Mahaffey","J E"
531,"Harrison","T S"
532,"Thompson","N W"
533,"Guevara","J"
534,"Sukerman","M"
535,"Velasco","M"
536,"Szpringer","M"
537,"Shah","P M"
538,"Kawai","T"
539,"Yamada","Y"
540,"Tsuneda","J"
541,"Aoyagi","T"
542,"Mikata","A"
543,"Zellner","P R"
544,"Taubert","I"
545,"Wegener","K"
546,"Golovistikov","I N"
547,"Kakpakov","V T"
548,"Polukarova","L G"
549,"Berezin","I V"
550,"Kershengol'ts","B M"
551,"Ugarova","N N"
552,"Stängle","H"
553,"Bohlen","N"
554,"Hertl","M"
555,"Rogol","A D"
556,"Ben-David","M"
557,"Sheats","R"
558,"Rodbard","D"
559,"Chrambach","A"
560,"Hummel","B C"
561,"Brown","G M"
562,"Hwang","P"
563,"Friesen","H G"
564,"Eickenroht","E Y"
565,"Gause","E M"
566,"Rowlands","J R"
567,"Kreuzer","W"
568,"Schöllhammer","I"
569,"Poll","D S"
570,"Bickel","M H"
571,"Hems","D A"
572,"Adjarov","D"
573,"Popov","S"
574,"Ivanov","E"
575,"Krustev","L"
576,"Chernev","K"
577,"Apostolov","I"
578,"Dimitrov","P"
579,"Drenska","E"
580,"Stefanova","M"
581,"Pramatarova","V"
582,"Bonner","H W"
583,"Tate","C A"
584,"Buffington","C K"
585,"Halliwell","B"
586,"Chiancone","E"
587,"Norne","J E"
588,"Forsén","S"
589,"Bonaventura","J"
590,"Brunori","M"
591,"Antonini","E"
592,"Wyman","J"
593,"Riebeling","V"
594,"Thauer","R K"
595,"Jungermann","K"
596,"Martin","H H"
597,"Maskos","C"
598,"Burger","R"
599,"Apps","D K"
600,"Cingolani","H E"
